주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
222-2-000001,와부 제1공영,공영,노외,,경기도 남양주시 와부읍 덕소리 474-1,28,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.58624882,127.2130282,Y,2026-03-11
222-2-000002,와부 제3공영,공영,노외,,경기도 남양주시 와부읍 도곡리1037-9,92,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.57963273,127.2226542,Y,2026-03-11
222-2-000003,와부 제5공영,공영,노외,,경기도 남양주시 와부읍 팔당리 243-9,35,1,5부제,평일+토요일+공휴일,8:00,20:00,8:00,20:00,8:00,20:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.54597782,127.2449375,Y,2026-03-11
222-2-000004,진접 제1공영,공영,노외,,경기도 남양주시 진접읍 팔야리 778-4,68,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.74488924,127.2084787,Y,2026-03-11
222-2-000005,진접 제2공영,공영,노외,,경기도 남양주시 진접읍 팔야리 792,92,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.74535367,127.201637,Y,2026-03-11
222-2-000006,진접 제3공영,공영,노외,,경기도 남양주시 진접읍 장현리 710-2,48,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.72610263,127.1937489,Y,2026-03-11
222-2-000007,진접 제4공영,공영,노외,,경기도 남양주시 진접읍 부평리 755,40,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.74150278,127.1996514,Y,2026-03-11
222-2-000008,진접 제5공영,공영,노외,,경기도 남양주시 진접읍 금곡리 1118,134,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.71895377,127.2050656,Y,2026-03-11
222-2-000009,화도 제1공영,공영,노외,,경기도 남양주시 화도읍 마석우리 334-11,114,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65316702,127.3030429,Y,2026-03-11
222-2-000010,화도 제2공영,공영,노외,,경기도 남양주시 화도읍 마석우리 338-1,75,1,5부제,평일+토요일,8:00,20:00,8:00,20:00,0:00,0:00,유료,30,600,10,300,4,7000,70000,카드,,경기도 남양주도시공사 주차운영부,031-560-1212,37.65319343,127.3018012,Y,2026-03-11
