제목,카테고리,경도,위도,추가정보
화도읍 비룡로 188,업로드,127.304403,37.670083,단속일시:2026-02-18 10:37:34;단속동:화도읍;단속장소:화도읍 비룡로 188;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6700831;_GPS_Y:127.304403
화도읍 경춘로2347번길 44-4,업로드,127.347269,37.66178,단속일시:2026-01-06 20:25:36;단속동:화도읍;단속장소:화도읍 경춘로2347번길 44-4;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6617803;_GPS_Y:127.347269
화도읍 비룡로 188,업로드,127.304215,37.670002,단속일시:2026-02-18 10:37:21;단속동:화도읍;단속장소:화도읍 비룡로 188;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6700016;_GPS_Y:127.304215
화도읍 비룡로 188,업로드,127.304128,37.670028,단속일시:2026-02-18 10:37:45;단속동:화도읍;단속장소:화도읍 비룡로 188;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6700275;_GPS_Y:127.304128
화도읍 비룡로 188,업로드,127.304239,37.670043,단속일시:2026-02-18 10:37:42;단속동:화도읍;단속장소:화도읍 비룡로 188;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6700433;_GPS_Y:127.304239
화도읍 비룡로 188,업로드,127.304228,37.670095,단속일시:2026-01-02 10:36:57;단속동:화도읍;단속장소:화도읍 비룡로 188;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6700946;_GPS_Y:127.304228
화도읍 비룡로 188,업로드,127.304409,37.670138,단속일시:2026-01-05 10:17:59;단속동:화도읍;단속장소:화도읍 비룡로 188;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6701380;_GPS_Y:127.304409
화도읍 비룡로 188,업로드,127.304343,37.670064,단속일시:2026-03-06 10:02:35;단속동:화도읍;단속장소:화도읍 비룡로 188;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6700640;_GPS_Y:127.304343
화도읍 비룡로 188,업로드,127.304024,37.670118,단속일시:2026-01-05 10:18:05;단속동:화도읍;단속장소:화도읍 비룡로 188;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6701175;_GPS_Y:127.304024
화도읍 마석로71번길 6,업로드,127.305726,37.65729,단속일시:2026-01-28 14:45:42;단속동:화도읍;단속장소:화도읍 마석로71번길 6;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572901;_GPS_Y:127.305726
화도읍 맷돌로 114,업로드,127.302933,37.657284,단속일시:2026-01-21 10:35:41;단속동:화도읍;단속장소:화도읍 맷돌로 114;단속구분:주행형CCTV;위반법규:32조;GPS_X:37.6572843;_GPS_Y:127.302933
